id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *, *,1.8nF,0,0,Samsung Electronics,CAP CER1.8nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,92,,,
, *, *, *, *,330pF,0,0,Samsung Electronics,CAP CER330pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,93,,,
, *, *, *, *,680pF,0,0,Samsung Electronics,CAP CER680pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,94,,,
, *, *, *, *,180pF,0,0,Samsung Electronics,CAP CER180pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,95,,,
, *, *, *, *,6.8nF,0,0,Samsung Electronics,CAP CER6.8nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,96,,,
, *, *, *, *,220pF,0,0,Samsung Electronics,CAP CER220pF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,97,,,
, *, *, *, *,820nF,0,0,Samsung Electronics,CAP CER820nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,98,,,
, *, *, *, *,8.2nF,0,0,Samsung Electronics,CAP CER8.2nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,99,,,
, *, *, *, *,680nF,0,0,Samsung Electronics,CAP CER680nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,100,,,
, *, *, *, *,270nF,0,0,Samsung Electronics,CAP CER270nF 50V X7R 1206,Cut Tape (CT), - ,Active,50,,9,101,,,
, *, *, *, *,3.9nF,0,0,Samsung Electronics,CAP CER3.9nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,,9,102,,,
, *, *, *, *,4pF,0,0,Samsung Electronics,CAP CER4pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,,9,103,,,
, *, *, *, *,4.7pF,0,0,Samsung Electronics,CAP CER4.7pF 50V X7R 0603,Cut Tape (CT), - ,Active,50,,9,104,,,
, *, *, *, *,3.6nF,0,0,Samsung Electronics,CAP CER3.6nF 50V X7R 0603,Cut Tape (CT), - ,Active,50,,9,105,,,
