id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,CF18JT66R5,0,0,Zenithsun Electronics Tech,RES 66.5 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,78,,,
, *, *, *,,CF18JT649,0,0,Zenithsun Electronics Tech,RES 649 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,79,,,
, *, *, *,,CF18JT64R9,0,0,Zenithsun Electronics Tech,RES 64.9 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,80,,,
, *, *, *,,CF18JT64K4,0,0,Zenithsun Electronics Tech,RES 64.4K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,81,,,
, *, *, *,,CF18JT634,0,0,Zenithsun Electronics Tech,RES 634 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,82,,,
, *, *, *,,CF18JT63K4,0,0,Zenithsun Electronics Tech,RES 63.4K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,83,,,
, *, *, *,,CF18JT63R4,0,0,Zenithsun Electronics Tech,RES 63.4 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,84,,,
, *, *, *,,CF18JT619K,0,0,Zenithsun Electronics Tech,RES 619K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,85,,,
, *, *, *,,CF18JT60K5,0,0,Zenithsun Electronics Tech,RES 60.5K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,86,,,
, *, *, *,,CF18JT60R4,0,0,Zenithsun Electronics Tech,RES 60.4 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,87,,,
, *, *, *,,CF18JT6M9,0,0,Zenithsun Electronics Tech,RES 6.9M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,88,,,
, *, *, *,,CF18JT6K9,0,0,Zenithsun Electronics Tech,RES 6.9K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,89,,,
, *, *, *,,CF18JT6M98,0,0,Zenithsun Electronics Tech,RES 6.98M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,90,,,
, *, *, *,,CF18JT6K91,0,0,Zenithsun Electronics Tech,RES 6.91K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,91,,,
, *, *, *,,CF18JT6M81,0,0,Zenithsun Electronics Tech,RES 6.81M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,92,,,
, *, *, *,,CF18JT6M65,0,0,Zenithsun Electronics Tech,RES 6.65M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,93,,,
, *, *, *,,CF18JT6R65,0,0,Zenithsun Electronics Tech,RES 6.65 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,94,,,
, *, *, *,,CF18JT6M49,0,0,Zenithsun Electronics Tech,RES 6.49M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,95,,,
, *, *, *,,CF18JT6R49,0,0,Zenithsun Electronics Tech,RES 6.49 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,96,,,
, *, *, *,,CF18JT6R36,0,0,Zenithsun Electronics Tech,RES 6.36 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,97,,,
, *, *, *,,CF18JT6M34,0,0,Zenithsun Electronics Tech,RES 6.34M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,98,,,
, *, *, *,,CF18JT6R34,0,0,Zenithsun Electronics Tech,RES 6.34 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,99,,,
, *, *, *,,CF18JT6M04,0,0,Zenithsun Electronics Tech,RES 6.04M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,100,,,
, *, *, *,,CF18JT592,0,0,Zenithsun Electronics Tech,RES 592 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,101,,,
, *, *, *,,CF18JT590K,0,0,Zenithsun Electronics Tech,RES 590K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,102,,,
, *, *, *,,CF18JT59,0,0,Zenithsun Electronics Tech,RES 59 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,103,,,
, *, *, *,,CF18JT576K,0,0,Zenithsun Electronics Tech,RES 576K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,104,,,
, *, *, *,,CF18JT576,0,0,Zenithsun Electronics Tech,RES 576 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,105,,,
, *, *, *,,CF18JT57K6,0,0,Zenithsun Electronics Tech,RES 57.6K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,106,,,
, *, *, *,,CF18JT562,0,0,Zenithsun Electronics Tech,RES 562 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,107,,,
, *, *, *,,CF18JT56R2,0,0,Zenithsun Electronics Tech,RES 56.2 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,108,,,
, *, *, *,,CF18JT549K,0,0,Zenithsun Electronics Tech,RES 549K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,109,,,
, *, *, *,,CF18JT549,0,0,Zenithsun Electronics Tech,RES 549 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,110,,,
