General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,3mV @ ±15V,0.1µA @ ±15V,50mA,6mA,-,-,-,-40°C ~ 105°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SO
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,3.5 V ~ 30 V* ±1.75 V ~ 15 V,3mV @ ±15V,0.1µA @ ±15V,50mA,6mA,-,-,-,-40°C ~ 85°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-PDIP
General Purpose,2,DTL* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,4mV @ ±15V,0.5µA @ ±15V,-,4.3mA,CMRR* PSRR (Typ) -,-,-,-25°C ~ 85°C,"14-CDIP (0.300""* 7.62mm)",Through Hole,14-CDIP
General Purpose,2,Open-Collector* Open-Emitter* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,4mV @ ±15V,0.5µA @ ±15V,-,11.5mA,CMRR* PSRR (Typ) -,-,-,-40°C ~ 105°C,"14-DIP (0.300""* 7.62mm)",Through Hole,14-DIP
General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 32 V* ±1 V ~ 16 V,2mV @ 30V,0.1µA @ 5V,16mA @ 5V,2mA,-,-,-,-40°C ~ 105°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 32 V* ±1 V ~ 16 V,5mV @ 30V,0.25µA @ 5V,16mA @ 5V,2mA,-,-,-,-40°C ~ 105°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 32 V* ±1 V ~ 16 V,7mV @ 5V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 125°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 32 V* ±1 V ~ 16 V,7mV @ 5V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 125°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
General Purpose,4,CMOS* Open-Collector* TTL,3 V ~ 36 V* ±1.5 V ~ 18 V,7mV @ 5V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 105°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
General Purpose,4,CMOS* Open-Collector* TTL,3 V ~ 36 V* ±1.5 V ~ 18 V,7mV @ 5V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 105°C,"14-TSSOP (0.173""* 4.40mm Width)",Surface Mount,14-TSSOP
