330pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
680pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
180pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
6.8nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
220pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
820nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
8.2nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
680nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
270nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
3.9nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0603,0.064 L x 0.035 W (1.63mm x 0.89mm), - , - , - , - ,
4pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0603,0.064 L x 0.035 W (1.63mm x 0.89mm), - , - , - , - ,
