id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,129,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,130,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 16V  E,Cut Tape (CT),TAJ,Active,10,,239,131,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,,239,132,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 25V  C,Cut Tape (CT),TAJ,Active,10,,239,133,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,,239,134,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 3.3uF 20% 25V  B,Cut Tape (CT),TAJ,Active,10,,239,135,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 68uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,136,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,,239,137,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,138,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 470uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,139,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 3.3uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,140,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 2.2uF 20% 35V  B,Cut Tape (CT),TAJ,Active,10,,239,141,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,142,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 50V  A,Cut Tape (CT),TAJ,Active,10,,239,143,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,144,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 6.8uF 20% 25V  B,Cut Tape (CT),TAJ,Active,10,,239,145,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 15uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,146,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,147,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 10V  B,Cut Tape (CT),TAJ,Active,10,,239,148,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 16V  B,Cut Tape (CT),TAJ,Active,10,,239,149,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,,239,150,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,,239,151,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 33uF 20% 6V  A,Cut Tape (CT),TAJ,Active,10,,239,152,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,153,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 25V  D,Cut Tape (CT),TAJ,Active,10,,239,154,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 25V  A,Cut Tape (CT),TAJ,Active,10,,239,155,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 3.3uF 20% 35V  C,Cut Tape (CT),TAJ,Active,10,,239,156,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 10V  A,Cut Tape (CT),TAJ,Active,10,,239,157,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 6.3V  C,Cut Tape (CT),TAJ,Active,10,,239,158,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 25V  C,Cut Tape (CT),TAJ,Active,10,,239,159,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 6.3V  B,Cut Tape (CT),TAJ,Active,10,,239,160,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 150uF 20% 6.3V  B,Cut Tape (CT),TAJ,Active,10,,239,161,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 330uF 20% 16V  D,Cut Tape (CT),TAJ,Active,10,,239,162,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,163,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 35V  D,Cut Tape (CT),TAJ,Active,10,,239,164,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100nF 20% 35V  A,Cut Tape (CT),TAJ,Active,10,,239,165,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 16V  C,Cut Tape (CT),TAJ,Active,10,,239,166,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 25V  B,Cut Tape (CT),TAJ,Active,10,,239,167,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 22uF 20% 25V  B,Cut Tape (CT),TAJ,Active,10,,239,168,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 10V  A,Cut Tape (CT),TAJ,Active,10,,239,169,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 4.7uF 20% 25V  B,Cut Tape (CT),TAJ,Active,10,,239,170,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 47uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,171,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 330uF 20% 10V  D,Cut Tape (CT),TAJ,Active,10,,239,172,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 1uF 20% 25V  A,Cut Tape (CT),TAJ,Active,10,,239,173,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100uF 20% 4V  B,Cut Tape (CT),TAJ,Active,10,,239,174,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 6V  A,Cut Tape (CT),TAJ,Active,10,,239,175,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 10uF 20% 16V  A,Cut Tape (CT),TAJ,Active,10,,239,176,,,
, *, *, *,,TAJeRNJ,0,0,AVX Corporation,CAP TANT 100nF 20% 25V  A,Cut Tape (CT),TAJ,Active,10,,239,177,,,
