Step-Down,Positive,Buck,Fixed,1,4V,40V,5V,-,3A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Down,Positive,Buck,Adjustable,1,4V,40V,1.23V,37V,3A,52kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5,TO-220-5
Step-Up* Step-Up/Step-Down,Positive or Negative,Boost* Flyback* Forward Converter,Adjustable,1,3.5V,40V,1.23V,60V (Switch),3A (Switch),52kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"24-SOIC (0.295""* 7.50mm Width)",24-SOIC
Step-Up* Step-Up/Step-Down,Positive,Boost* Flyback* Forward Converter,Adjustable,1,4V,40V,1.23V,60V,3A (Switch),100kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Up* Step-Up/Step-Down,Positive,Boost* Flyback* Forward Converter,Adjustable,1,4V,40V,1.23V,60V,3A (Switch),100kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5 Formed Leads,TO-220-5
Step-Up* Step-Up/Step-Down,Positive,Boost* Flyback* Forward Converter,Adjustable,1,4V,40V,1.23V,60V,5A (Switch),100kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5 Formed Leads,TO-220-5
Step-Down,Positive,Buck,Adjustable,1,4.5V,60V,1.2V,57V,2A,150kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5 Formed Leads,TO-220-5
Step-Down,Positive,Buck,Adjustable,1,4.5V,60V,1.2V,57V,500mA,150kHz,No,-40°C ~ 125°C (TJ),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,5V,-,500mA,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Step-Down,Positive,Buck,Adjustable,1,4.5V,40V,1.2V,37V,500mA,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
