4.7V,±5%,500mW,80 Ohms,3µA @ 2V,1.5V @ 100mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
100V,±5%,500mW,500 Ohms,500nA @ 76V,1.1V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35 (DO-204AH)
11V,±5%,5W,2.5 Ohms,5µA @ 8.4V,1.2V @ 1A,-55°C ~ 150°C,Through Hole,DO-204AC* DO-15* Axial,DO-15
15V,±5%,1W,14 Ohms,5µA @ 11.4V,1.2V @ 200mA,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
20V,±5%,1W,22 Ohms,5µA @ 15.2V,-,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
6.8V,±5%,1W,3.5 Ohms,10µA @ 4V,-,-65°C ~ 200°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
3.3V,±5%,400mW,95 Ohms,5µA @ 1V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
4.7V,±5%,1.3W,4 Ohms,-,-,175°C,Through Hole,DO-204AL* DO-41* Axial,DO-41
5.6V,±7%,300mW,40 Ohms,1µA @ 2V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
22.05V,±5.67%,250mW,55 Ohms,100nA @ 15V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
12.05V,±5.39%,250mW,25 Ohms,100nA @ 8V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
24.2V,±5.79%,250mW,70 Ohms,100nA @ 17V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
17.95V,±6.41%,250mW,45 Ohms,100nA @ 13V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
11V,±5.45%,250mW,20 Ohms,100nA @ 8V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
33V,±6.06%,250mW,80 Ohms,100nA @ 23V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
6.8V,±2%,250mW,15 Ohms,2µA @ 4V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,TO-236AB (SOT23)
10V,±6%,250mW,20 Ohms,200nA @ 7V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
2.7V,±7.41%,250mW,100 Ohms,20µA @ 1V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
15V,±6%,300mW,30 Ohms,50nA @ 10.5V,-,-55°C ~ 150°C,Surface Mount,TO-236-3* SC-59* SOT-23-3,SOT-23-3
13.25V,±6.42%,250mW,30 Ohms,100nA @ 8V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
16.2V,±5.56%,250mW,40 Ohms,100nA @ 11V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
27V,±7.04%,250mW,80 Ohms,100nA @ 19V,-,150°C (TJ),Surface Mount,TO-236-3* SC-59* SOT-23-3,SSD3
5.6V,±5%,500mW,40 Ohms,1µA @ 2V,900mV @ 10mA,-65°C ~ 200°C,Surface Mount,DO-213AC* MINI-MELF* SOD-80,SOD-80C
6.2V,±5%,400mW,10 Ohms,3µA @ 4V,1.1V @ 100mA,-65°C ~ 150°C,Surface Mount,SOD-110,SOD110
24V,±5%,1W,25 Ohms,5µA @ 18.2V,1.2V @ 200mA,-65°C ~ 175°C,Surface Mount,DO-213AB* MELF,MELF
3.6V,±6%,500mW,90 Ohms,5µA @ 1V,900mV @ 10mA,-65°C ~ 150°C,Surface Mount,SOD-123,SOD-123
16V,±5%,1W,40 Ohms,50nA @ 11.2V,1V @ 50mA,-65°C ~ 150°C,Surface Mount,TO-243AA,SOT-89-3
15V,±5%,500mW,30 Ohms,100nA @ 11V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
43V,±5%,400mW,150 Ohms,50nA @ 700mV,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
2.7V,±5%,500mW,85 Ohms,10µA @ 1V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
18V,±5%,500mW,50 Ohms,100nA @ 13V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
33V,±2%,500mW,80 Ohms,100nA @ 24V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
47V,±5%,500mW,110 Ohms,100nA @ 36V,1.5V @ 200mA,-65°C ~ 175°C,Through Hole,DO-204AH* DO-35* Axial,DO-35
51V,±5%,400mW,180 Ohms,50nA @ 35.7V,900mV @ 10mA,-65°C ~ 200°C,Through Hole,DO-204AH* DO-35* Axial,ALF2
